Title,Publish time,Permalink,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad impressions,Total clicks,Views,Reach from Boosted posts,Reach from Organic posts,3-second video views from Boosted posts,3-second video views from Organic posts,Other Clicks,Link Clicks,Matched Audience Targeting Consumption (Photo Click),3-second video views,1-minute video views,3-Second viewers,1-minute viewers
"ضيعت اليوم كله و ملمتش حاجة ؟ 🤔 ميهمكش المراجعة هتظبط ليك الكلام 😎
-- أدخل دلوقتي اتفرج على مراجعة شهر ابريل للصف الثاني الاعدادي على البوتيوب من هنا:
https://youtu.be/ifMNyppX_I4

محتويات المراجعة: 
📌 Unit 9 Grammar Revision
📌 Unit 9 Vocabulary Revision
📌 Unit 10 Grammar Revision
📌 Unit 10 Vocabulary Revision
شدوا حيلكم يا ولاد و يا بنات 😉💖
MGMT AmxCreations 

 #انجليزي #الاعدادية #امتحانات #MohamedHosny #انجلش #prep #ثانويةعامة #تانيةاعدادي #الصف_الثاني_الاعدادي",5/4/2025 11:31,https://www.facebook.com/MohamedHosnyEnglish/posts/pfbid02aEgHsmDrELxgnhL5RCwVPb5TwLBBhoaLR1EQxKWt5ByJMrHUVWh9wq7FmBqXb1sgl,0,353,59,46,12,1,,,,,69,0,0,353,0,0,52,4,13,0,0,0,0
"طلاب تانية اعدادي فاكرين الطلسم كان بيقول ايه ؟ 🤔
- متأخرش نفسك لليلة الأمتحان و ابدأ شوف المراجعة من دلوقتي على اليوتيوب و لو شوفتها ممكن تتفرج على أهم الأجزاء الـ محتاج تأكد عليها تاني و لو عندك سؤال ممكن تكتبه هنا في الكومنتات و المستر بنفسه هيرد عليك ❤😉 

-- تقدر تشوف المراجعة كاملة من هنا:
https://youtu.be/ifMNyppX_I4

 ✅ متنسوش تتابعونا علي منصات التواصل الأجتماعي عشان تشوفوا كل جديد من هنا: 
https://linktr.ee/MohamedHosnyEnglish

MGMT AmxCreations   

#MohamedHosny #English #esayenglish #prep #ثانوية #ثانويةعامة #الاعدادية #الشهادة #امتحانات #انجليزي #انجلش",5/2/2025 8:34,https://www.facebook.com/MohamedHosnyEnglish/posts/pfbid023fKkTcCMXUKbuzXDHrtQGWPAqY8PFvUQtQfZjFv3wY6J6EnrQuvgypCdUXoZpqQ9l,0,357,33,27,3,3,,,,,59,0,0,357,0,0,36,10,13,0,0,0,0
أهم مفتاح لطلاب تانية اعدادي الطلسم السري هنا 😎💕,5/1/2025 5:05,https://www.facebook.com/MohamedHosnyEnglish/videos/9564430203669506/,0,530,88,80,5,3,18735.032,24.98,0,0,96,0,0,530,0,422,91,5,,422,92,320,89
"دلوووقتي ميعاد المراجعة مينفعش يفوتك البداية علشان فيه طلاسم و حاجات أغرب من أخوك 😂❤ تعالوا نشوف هنعمل إيه 😎 يلا تعالى و شد صاحبك معاك 👌🏼🥰 

-- المراجعة من هنا:

محتويات المراجعة: 
📌 Unit 9 Grammar Revision
📌 Unit 9 Vocabulary Revision
📌 Unit 10 Grammar Revision
📌 Unit 10 Vocabulary Revision

شدوا حيلكم يا ولاد و يا بنات 😉💖
MGMT AmxCreations 

 #prep #الاعدادية #esayenglish #انجليزي #MohamedHosny #ثانوية #الشهادة #انجلش #امتحانات #English #ثانويةعامة",4/29/2025 5:01,https://www.facebook.com/MohamedHosnyEnglish/videos/1597201117646152/,0,168,15,13,0,2,2143.121,10.353,0,0,14,0,0,168,0,110,14,,,110,5,81,5
"مش هنفرق بينك و بين أخوك الصغير 😉💖 

يلا محتاجينك فايق معانا لمراجعة ليلة امتحان الأنجلش الـ بنوعدك فيها انها هتلم لك كل الـ هتحتاجه و حته زيادة كمان علشان طلابنا مميزين 💪🏼❤ المراجعة هتبدأ على اليوتيوب الساعة 03:00 عصراً يعني بعد تلت ساعات يا انسة و يا أستاذ اجهزوووا 😉😎 

✅ المراجعة كفيلة انها تلم لك كل الـ هتحتاجه بكرة في الأمتحان من جرامر أو vocab 💕
✅ حلينا ليك أهم الأسئلة الـ سهل منها و الـ صعب الـ بنوعدك مش هيخرج عنها أي امتحان 😎
     ( ايوه مستغرب ليه زي أخوك امبارح 😂💖 )

-- يلا أجهز و مستنينكم على اليوتيوب متنساش الساعة 3 😉 لينك الفيديو من #انجلش https://youtu.be/ifMNyppX_I4

 متنسوش تتابعونا علي منصات التواصل الأجتماعي عشان تشوفوا كل جديد من هنا: 
https://linktr.ee/MohamedHosnyEnglish

- يمكنكم التواصل معنا عن طريق الواتساب للأستفسارات أو علي رسائل الصفحة. 
MGMT AmxCreations  

#MohamedHosny #English #esayenglish #prep #ثانوية #ثانويةعامة #الاعدادية #الشهادة #امتحانات #انجليزي #انجلش",4/29/2025 2:30,https://www.facebook.com/MohamedHosnyEnglish/posts/pfbid0ufHpMhy4isFyvC1BpEkyksJcKMHGQurMLM3GDL2UN7Z78sgfck7JEdCx6D2VuuG1l,172,681,19,15,2,2,,,,,44,172,170,507,0,0,28,13,3,0,0,0,0
"🚨🚨 طلابنا الغاليين بسبب مشكلة في بارت جرامر UNIT 10 عيدنا ليكم جزء الحل و لكن في جزء منفصل موجود بعد فيديو المراجعة تقدر تشوفوه كمان من هنا: 
https://youtu.be/DI3UFJpbyk4

ده معناه يا بطل إنه فيه جزء أنت محتاج تتفرج عليه علشان تكون كملت المراجعة معانا بشكل كامل 🤗❤ 
-- بنعتذر ليكم عن أي اضرار سببناها ليكم يا ولاد و يا بنات و هيتم خصم فوراً لسبب في المشكلة دي 😠😂

🚨 لينك المراجعة كاملة: 
https://youtu.be/_C7fsARgIAw
🚨 لينك حل جرامر unit 10:
https://youtu.be/DI3UFJpbyk4
بالتوفيق ❤💪🏼",4/28/2025 6:00,https://www.facebook.com/MohamedHosnyEnglish/posts/pfbid028qYTDybuTJhC1y5WpjsLZc3gJcoQhVyDfAcDwVAq877aQnvLvAm2ACJxwUhhenT3l,0,89,6,6,0,0,,,,,12,0,0,89,0,0,5,6,1,0,0,0,0
"صباااح الخير ابطاال أولى اعدادي في كل مكان 💪🏼💖
دلوووقتي ميعاد المراجعة مينفعش يفوتك البداية علشان فيها 6 - 0 و مقصات و  حاجات غريبة كده تعالوا نشوف هنعمل إيه 😎 يلااا اتحرك الشاي بتاعك و تعالي علشان هنرووق على حضرتك 👌🏼🥰 

-- المراجعة من هنا:
https://youtu.be/_C7fsARgIAw

محتويات المراجعة: 
📌 The near future tense
📌 The future simple
📌 Vocabulary unit 9 important questions
📌 The present simple tense
📌 If conditions
📌 Vocabulary unit 10 important questions

تاعبين حضراتكم معانا بس هانت يا أبطال خلااص 😉💖
MGMT AmxCreations 

 #prep #الاعدادية #esayenglish #انجليزي #MohamedHosny #ثانوية #الشهادة #انجلش #امتحانات #English #ثانويةعامة",4/28/2025 5:00,https://www.facebook.com/MohamedHosnyEnglish/videos/1018021003632058/,0,255,33,28,2,3,2942.678,9.026,0,0,17,0,0,255,0,145,15,2,,145,8,109,8
"حبايبنا طلاب أولى اعدادي حمد لله على سلامتكم يا أبطال إبدأ ارتاح شوية علشان تكون مستعد لمراجعة ليلة الأمتحان الـ هتكون موجود الساعة 03:00 عصراً على اليوتيوب 🤗

✅ المراجعة كفيلة انها تلم لك كل الـ هتحتاجه بكرة في الأمتحان من جرامر أو vocab 💕
✅ حلينا ليك أهم الأسئلة الـ سهل منها و الـ صعب الـ بنوعدك مش هيخرج عنها أي امتحان 😎

-- يلا أجهز و مستنينكم على اليوتيوب متنساش الساعة 3 😉 لينك الفيديو من هنا: 
https://youtu.be/_C7fsARgIAw

 متنسوش تتابعونا علي منصات التواصل الأجتماعي عشان تشوفوا كل جديد من هنا: 
https://linktr.ee/MohamedHosnyEnglish

- يمكنكم التواصل معنا عن طريق الواتساب للأستفسارات أو علي رسائل الصفحة. 
MGMT AmxCreations 

#MohamedHosny #English #esayenglish #prep #ثانوية #ثانويةعامة #الاعدادية #الشهادة #امتحانات #انجليزي #انجلش",4/28/2025 2:35,https://www.facebook.com/MohamedHosnyEnglish/posts/pfbid0SYfWY49LMxuTuNA2yztdq3QS178j4VVQH32YVNzzxcNajAa2sCcrbvZXb4xg8VhVl,723,2715,77,74,1,2,,,,,58,723,2373,369,0,0,33,21,4,0,0,0,0
"🚨🚨 طلاب أولى و تانية ثانوي دلوقتي مراجعة ليلة الأمتحان موجودة على قناة اليوتيوب 
🚨 مراجعة كفيلة انها تلم ليك كل حاجة هتحتاجها في الأمتحان 😉💖

يلا بلاش تضييع وقت و قوم إتفرج على الحصة و لم الـ وراك من هناك:  
https://youtube.com/@MohamedHosnyEnglish 
✅ انتظرونا في أقوى مراجعة شهر هنقدم ليكم فيها كل الـ تفاصيل الـ هتحتاجوها في امتحان شهر أبريل لطلابنا طلاب الصفوف الأولى و الثانية للمرحلة الأعدادية و الثانوية استنونا يا أبطال و استنوا مننا بوست يوضح ليكم مواعيد حصص مراجعتكم علشان تضمنوا الدرجة النهائية.
-- متنسوش تتابعونا علي منصات التواصل الأجتماعي عشان تشوفوا كل جديد من هنا: 
https://linktr.ee/MohamedHosnyEnglish
- يمكنكم التواصل معنا عن طريق الواتساب للأستفسارات أو علي رسائل الصفحة. 
MGMT AmxCreations 

#MohamedHosny #English #esayenglish #prep #ثانوية #ثانويةعامة #الاعدادية #الشهادة #امتحانات #انجليزي #انجلش
#الشهادة #English #MohamedHosny #الاعدادية #ثانويةعامة #انجليزي #انجلش #امتحانات #prep #esayenglish #ثانوية",4/27/2025 8:13,https://www.facebook.com/reel/1050389326935585/,593,1386,27,23,3,1,19096.351,11.559,0,0,0,593,1212,183,1012,208,,,,,,,
"المستر قرر يعوض كمان أبطال تانية ثانوي مرتين مرة علشان الماتش و مرة علشان ده أخر ترم ليك يا بطل قبل محطتك الأخيرة و هي الثانوية العام، اظبط ساعتك على 03:00 عصراً عشان تشوف أقوى مراجعة هتلم ليك اللغة الأجنبية الأولى كما يجب أن يكون 😉🤞

-- تقدر تشوف المراجعة من هنا:
https://youtu.be/VXeKr_4jIjU

✅ انتظرونا في أقوى مراجعة شهر هنقدم ليكم فيها كل الـ تفاصيل الـ هتحتاجوها في امتحان شهر أبريل لطلابنا طلاب الصفوف الأولى و الثانية للمرحلة الأعدادية و الثانوية استنونا يا أبطال و استنوا مننا بوست يوضح ليكم مواعيد حصص مراجعتكم علشان تضمنوا الدرجة النهائية.

- متنسوش تتابعونا علي منصات التواصل الأجتماعي عشان تشوفوا كل جديد من هنا: 
https://linktr.ee/MohamedHosnyEnglish

- يمكنكم التواصل معنا عن طريق الواتساب للأستفسارات أو علي رسائل الصفحة. 
MGMT AmxCreations 
 
#MohamedHosny #English #esayenglish #prep #ثانوية #ثانويةعامة #الاعدادية #الشهادة #امتحانات #انجليزي #انجلش",4/26/2025 2:00,https://www.facebook.com/MohamedHosnyEnglish/posts/pfbid02cygqocUc6YMtrCUubakgE8LLQky1XNqn7TodNJUrsQNmngqSnFnaCPhZ1DNq92LXl,0,357,44,34,6,4,,,,,45,0,0,357,0,0,22,22,1,0,0,0,0
